,choice1,choice2,choice3
0,The dad in this makes me want to start my own cult. Anything available to give me tips on the occult lore for that?,"Confining and controlling someone is a pretty good way of showing you care, right? I'm in the mood for a love story next...","More weird dental hijinks, please! Got anything with a pedophile dentist in it?"
1,Some more Leonardo DiCaprio would be nice!,"Lighthouses are cool, but what really turns me on is windmills...","More seaside antics, but fewer rats please!"
2,"Wow, not a lot of women in that film. Got anything with Sophia Loren in it to clear the palate?",Too dry and dusty for me. Got anything in a damper setting?,I wish I were drinking a milkshake in Paris right now...
3,"Landlords suck! You can't get a landlord much worse than the one in this movie, right? I mean, right?","This was very loosely based on an opera set in Paris, and moved to New York, right? Got anything where we go the other direction and take a hard-boiled novel in the U.S. and set it in Paris with some of the genders flipped?",I love movies about blood-borne illnesses. Show me more!
4,Got anything else produced by Roger Corman? He seems to pick winners!,"If Mama Ramone gave birth to another one, what should she name him? Is Alphonse too provincial? Should she call him Ghislain instead? Let's reason this out.","There's no way some dudes as funny looking as the Ramones would have gorgeous women swooning over them in real life, right? Right?"
5,"Wow, poor people have it rough. How does it compare to having a disability though?","Not bad, but got anything with actual parasites in it?",That kid was pretty stealthy! Bet his skills could have been applied pretty well in wartime...
6,So who would win in a fight--a detachment of dismounted Cossacks or an equal number of grizzly bears?,"Okay, so now I have that ""In the Navy"" song by the Village People stuck in my head. Might as well roll with the homoeroticism...","My attention span is still shot. Got anything else relatively short, preferably in black and white?"
7,"""Springtime for Hitler"" is over. Is it hockey season yet?",Fraud is kind of old fashioned for me. Show me the newest innovations in organ harvesting instead!,I think that Bialystock was onto something. Even some younger women can agree there's something appealing about older women!
8,"It's probably best not to gamble with your health with untested treatments--or to gamble much at all, for that matter!","Sad that most people don't know, don't show, or don't care what's going on with mutagenic surgical technology these days...","Wow, it's interesting how much a motorcycle accident can really mess someone up..."
9,"Making a film is probably easy if no one is deliberately trying to make it tricky for you, right?",...And it's nice to see how calm and collected filmmakers can be in the face of hardship!,I suppose it's easier making a film than a blimp! 
10,Bet it would be easier to get that ship through the jungle if someone only had a steamroller!,At least no one drowned in those rapids. Safe boating is no accident!,"That was good but kind of long. Got anything by the same director, but maybe shorter?"
11,I'd love for someone to make a Klaus Kinski biopic with some old He-Man dolls. Got anything to tide me over until that happens?,"Good lord, what bit Klaus Kinski to make him such a nutcase?",I love Kinski's energy and impulsiveness. Too bad he never channeled that into being a federal agent and catching counterfeiters!
12,The stocking scene was weirdly hot for something this early. I'm in the mood to watch some cabaret dancers now...,"Call me a monster, but I kinda laughed at the part where the little kid got shot!","At the risk of sounding like a punk, FUCK the bourgeois virtues and outdated sexual mores of our society!"
13,This movie gives me the strange urge to watch 1990s hood films and early surrealist films in an endless loop for some reason!,This had some pretty intense imagery in it. Got anything a little lighter? You know...for kids!,Too much eyeball trauma! You know who's a little easier on the eyes--Alain Delon!
14,The chicken hypnotizer was pretty cool. So what happens if you hypnotize actors instead of poultry?,I'm a sucker for true stories with unhappy endings. Got anything like that where the actors are a bit more...plasti?,"Based on my viewing of this film, the Great and Powerful AI Algorithm thinks I would enjoy more movies about the fragility of innocence in the face of a complex and sometimes deceptive world!"
15,"Dracula is fine, but what really scares me is babbling zombies in a snowstorm!",The count was looking pretty pale and sickly. I bet a trip to Rio would do him some good!,"I love the part where the count looks at the crucifix and tells Jesus, ""Do your early stuff!"" Oh wait, that was a different film..."
