,,wiki_link
1,Dogtooth,https://en.wikipedia.org/wiki/Dogtooth_(film)
2,Shutter Island,https://en.wikipedia.org/wiki/Shutter_Island_(film)
3,There Will Be Blood,https://en.wikipedia.org/wiki/There_Will_Be_Blood
4,Rent,https://en.wikipedia.org/wiki/Rent_(film)
5,Rock n Roll High School,https://en.wikipedia.org/wiki/Rock_%27n%27_Roll_High_School
6,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
7,Battleship Potemkin,https://en.wikipedia.org/wiki/Battleship_Potemkin
8,The Producers,https://en.wikipedia.org/wiki/The_Producers_(1967_film)
9,Rabid,https://en.wikipedia.org/wiki/Rabid_(1977_film)
10,The Five Obstructions,https://en.wikipedia.org/wiki/The_Five_Obstructions
11,Fitzcarraldo,https://en.wikipedia.org/wiki/Fitzcarraldo
12,My Best Fiend,https://en.wikipedia.org/wiki/My_Best_Fiend
13,L'Age d'Or,https://en.wikipedia.org/wiki/L%27Age_d%27Or
14,Un Chien Andalou,https://en.wikipedia.org/wiki/Un_Chien_Andalou
15,Enigma of Kaspar Hauser,https://en.wikipedia.org/wiki/The_Enigma_of_Kaspar_Hauser
16,Nosferatu the Vampyre,https://en.wikipedia.org/wiki/Nosferatu_the_Vampyre
17,The Master,https://en.wikipedia.org/wiki/The_Master_(2012_film)
18,Nimic,NONE
19,Dottie Gets Spanked,NONE
20,Putney Swope,https://en.wikipedia.org/wiki/Putney_Swope
21,Fata Morgana,https://en.wikipedia.org/wiki/Fata_Morgana_(1971_film)
22,Dementia 13,https://en.wikipedia.org/wiki/Dementia_13
23,Fast Company,https://en.wikipedia.org/wiki/Fast_Company_(1979_film)
24,Carol,https://en.wikipedia.org/wiki/Carol_(film)
25,I'm Not There,https://en.wikipedia.org/wiki/I%27m_Not_There
26,Bad Lieutenant: Port of Call New Orleans,https://en.wikipedia.org/wiki/Bad_Lieutenant:_Port_of_Call_New_Orleans
27,Le Samourai,https://en.wikipedia.org/wiki/Le_Samoura%C3%AF
28,Kamikaze 1989,https://en.wikipedia.org/wiki/Kamikaze_1989
29,Cecil B. Demented,https://en.wikipedia.org/wiki/Cecil_B._Demented
30,Ieri Oggi Domani,"https://en.wikipedia.org/wiki/Yesterday,_Today_and_Tomorrow"
31,The Maid (2009),https://en.wikipedia.org/wiki/The_Maid_(2009_film)
32,Rodin,https://en.wikipedia.org/wiki/Rodin_(film)
33,Eiffel,https://en.wikipedia.org/wiki/Eiffel_(film)
34,Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc_(2019_film)
35,Gainsbourg: A Heroic Life,https://en.wikipedia.org/wiki/Gainsbourg:_A_Heroic_Life
36,Grizzly Man,https://en.wikipedia.org/wiki/Grizzly_Man
37,Woyzeck,https://en.wikipedia.org/wiki/Woyzeck_(1979_film)
38,A Trip to the Moon,https://en.wikipedia.org/wiki/A_Trip_to_the_Moon
39,Haxan,https://en.wikipedia.org/wiki/H%C3%A4xan
40,Superstar: The Karen Carpenter Story,https://en.wikipedia.org/wiki/Superstar:_The_Karen_Carpenter_Story
41,Poison,https://en.wikipedia.org/wiki/Poison_(1991_film)
42,Monsieur Hulot's Holiday,https://en.wikipedia.org/wiki/Les_Vacances_de_Monsieur_Hulot
43,Munchhausen,https://en.wikipedia.org/wiki/M%C3%BCnchhausen_(1943_film)
44,Lynch/Oz,https://en.wikipedia.org/wiki/Lynch/Oz
45,Titicut Follies,https://en.wikipedia.org/wiki/Titicut_Follies
46,The Bicycle Thief,https://en.wikipedia.org/wiki/Bicycle_Thieves
47,The Baby,https://en.wikipedia.org/wiki/The_Baby_(film)
48,The Steamroller and the Violin,https://en.wikipedia.org/wiki/The_Steamroller_and_the_Violin
49,Ivan's Childhood,https://en.wikipedia.org/wiki/Ivan%27s_Childhood
50,Bad Taste,https://en.wikipedia.org/wiki/Bad_Taste
51,Blood for Dracula,https://en.wikipedia.org/wiki/Blood_for_Dracula
52,Flesh for Frankenstein,https://en.wikipedia.org/wiki/Flesh_for_Frankenstein
53,Star Trek 2: The Wrath of Khan,https://en.wikipedia.org/wiki/Star_Trek_II:_The_Wrath_of_Khan
54,A Cat In Paris,https://en.wikipedia.org/wiki/A_Cat_in_Paris
55,The Man Who Killed Don Quixote,https://en.wikipedia.org/wiki/The_Man_Who_Killed_Don_Quixote
56,Delicatessen,https://en.wikipedia.org/wiki/Delicatessen_(1991_film)
57,Cobra Verde,https://en.wikipedia.org/wiki/Cobra_Verde
58,Un Flic,https://en.wikipedia.org/wiki/Un_flic
59,Stroszek,https://en.wikipedia.org/wiki/Stroszek
