,,imdb_link
1,Dogtooth,https://www.imdb.com/title/tt1379182/
2,Shutter Island,https://www.imdb.com/title/tt1130884/
3,There Will Be Blood,https://www.imdb.com/title/tt0469494/
4,Rent,https://www.imdb.com/title/tt0294870/
5,Rock n Roll High School,https://www.imdb.com/title/tt0079813/
6,Parasite,https://www.imdb.com/title/tt6751668/
7,Battleship Potemkin,https://www.imdb.com/title/tt0015648/
8,The Producers,https://www.imdb.com/title/tt0063462/
9,Rabid,https://www.imdb.com/title/tt0076590/
10,The Five Obstructions,https://www.imdb.com/title/tt0354575/
11,Fitzcarraldo,https://www.imdb.com/title/tt0083946/
12,My Best Fiend,https://www.imdb.com/title/tt0200849/
13,L'Age d'Or,https://www.imdb.com/title/tt0021577/
14,Un Chien Andalou,https://www.imdb.com/title/tt0020530/
15,Enigma of Kaspar Hauser,https://www.imdb.com/title/tt0071691/
16,Nosferatu the Vampyre,https://www.imdb.com/title/tt0079641/
17,The Master,https://www.imdb.com/title/tt1560747/
18,Nimic,https://www.imdb.com/title/tt10651850/
19,Dottie Gets Spanked,https://www.imdb.com/title/tt0106757/
20,Putney Swope,https://www.imdb.com/title/tt0064855/
21,Fata Morgana,https://www.imdb.com/title/tt0067085/
22,Dementia 13,https://www.imdb.com/title/tt0056983/
23,Fast Company,https://www.imdb.com/title/tt0079138/
24,Carol,https://www.imdb.com/title/tt2402927/
25,I'm Not There,https://www.imdb.com/title/tt0368794/
26,Bad Lieutenant: Port of Call New Orleans,https://www.imdb.com/title/tt1095217/
27,Le Samourai,https://www.imdb.com/title/tt0062229/
28,Kamikaze 1989,https://www.imdb.com/title/tt0084191/
29,Cecil B. Demented,https://www.imdb.com/title/tt0173716/
30,Ieri Oggi Domani,https://www.imdb.com/title/tt0057171/
31,The Maid (2009),https://www.imdb.com/title/tt1187044/
32,Rodin,https://www.imdb.com/title/tt5771710/
33,Eiffel,https://www.imdb.com/title/tt10366514/
34,Joan of Arc,https://www.imdb.com/title/tt8669356/
35,Gainsbourg: A Heroic Life,https://www.imdb.com/title/tt1329457/
36,Grizzly Man,https://www.imdb.com/title/tt0427312/
37,Woyzeck,https://www.imdb.com/title/tt0080149/
38,A Trip to the Moon,https://www.imdb.com/title/tt0000417/
39,Haxan,https://www.imdb.com/title/tt0013257/
40,Superstar: The Karen Carpenter Story,https://www.imdb.com/title/tt0094075/
41,Poison,https://www.imdb.com/title/tt0102687/
42,Monsieur Hulot's Holiday,https://www.imdb.com/title/tt0046487/
