,,tvtropes_link
1,Dogtooth,https://tvtropes.org/pmwiki/pmwiki.php/Film/Dogtooth
2,Shutter Island,https://tvtropes.org/pmwiki/pmwiki.php/Film/ShutterIsland
3,There Will Be Blood,https://tvtropes.org/pmwiki/pmwiki.php/Film/ThereWillBeBlood
4,Rent,https://tvtropes.org/pmwiki/pmwiki.php/Film/Rent
5,Rock n Roll High School,https://tvtropes.org/pmwiki/pmwiki.php/Film/RockAndRollHighSchool
6,Parasite,https://tvtropes.org/pmwiki/pmwiki.php/Film/Parasite2019
7,Battleship Potemkin,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBattleshipPotemkin
8,The Producers,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheProducers1967
9,Rabid,https://tvtropes.org/pmwiki/pmwiki.php/Film/Rabid
10,The Five Obstructions,NONE
11,Fitzcarraldo,https://tvtropes.org/pmwiki/pmwiki.php/Film/Fitzcarraldo
12,My Best Fiend,NONE
13,L'Age d'Or,https://tvtropes.org/pmwiki/pmwiki.php/Film/LAgeDOr
14,Un Chien Andalou,https://tvtropes.org/pmwiki/pmwiki.php/Film/UnChienAndalou
15,Enigma of Kaspar Hauser,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheEnigmaOfKasparHauser
16,Nosferatu the Vampyre,https://tvtropes.org/pmwiki/pmwiki.php/Film/NosferatuTheVampyre
17,The Master,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheMaster2012
18,Nimic,NONE
19,Dottie Gets Spanked,NONE
20,Putney Swope,https://tvtropes.org/pmwiki/pmwiki.php/Film/PutneySwope
21,Fata Morgana,NONE
22,Dementia 13,https://tvtropes.org/pmwiki/pmwiki.php/Film/Dementia13
23,Fast Company,NONE
24,Carol,https://tvtropes.org/pmwiki/pmwiki.php/Film/Carol
25,I'm Not There,https://tvtropes.org/pmwiki/pmwiki.php/Film/ImNotThere
26,Bad Lieutenant: Port of Call New Orleans,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBadLieutenantPortOfCallNewOrleans
27,Le Samourai,https://tvtropes.org/pmwiki/pmwiki.php/Film/LeSamourai
28,Kamikaze 1989,NONE
29,Cecil B. Demented,https://tvtropes.org/pmwiki/pmwiki.php/Film/CecilBDemented
30,Ieri Oggi Domani,https://tvtropes.org/pmwiki/pmwiki.php/Film/YesterdayTodayAndTomorrow
31,The Maid (2009),NONE
32,Rodin,NONE
33,Eiffel,https://tvtropes.org/pmwiki/pmwiki.php/Film/Eiffel
34,Joan of Arc,NONE
35,Gainsbourg: A Heroic Life,https://tvtropes.org/pmwiki/pmwiki.php/Film/Gainsbourg
36,Grizzly Man,https://tvtropes.org/pmwiki/pmwiki.php/Film/GrizzlyMan
37,Woyzeck,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Woyzeck
38,A Trip to the Moon,https://tvtropes.org/pmwiki/pmwiki.php/Film/ATripToTheMoon
39,Haxan,https://tvtropes.org/pmwiki/pmwiki.php/Film/Haxan
40,Superstar: The Karen Carpenter Story,NONE
41,Poison,NONE
42,Monsieur Hulot's Holiday,https://tvtropes.org/pmwiki/pmwiki.php/Film/MrHulotsHoliday
