this_section_number,film_title,film_director,section_number_1,section_number_2,section_number_3
1,Dogtooth,Yorgos Lanthimos,39,247,248
2,Shutter Island,Martin Scorsese,228,55,224
3,There Will Be Blood,Paul Thomas Anderson,30,86,225
4,Rent,Chris Columbus,56,215,168
5,Rock n Roll High School,Allan Arkush and Joe Dante,22,226,35
6,Parasite,Bong Joon Ho,93,139,49
7,Battleship Potemkin,Sergei Eisenstein,36,41,216
8,The Producers,Mel Brooks,115,76,24
9,Rabid,David Cronenberg,157,230,188
10,The Five Obstructions,Lars von Trier,240,250,100
11,Fitzcarraldo,Werner Herzog,48,22,106
12,My Best Fiend,Werner Herzog,40,9,125
13,L'Age d'Or,Luis Buñuel,224,89,213
14,Un Chien Andalou,Luis Buñuel,130,134,174
15,Enigma of Kaspar Hauser,Werner Herzog,61,40,175
16,Nosferatu the Vampyre,Werner Herzog,233,145,25
17,The Master,Paul Thomas Anderson,154,189,229
18,Nimic,Yorgos Lanthimos,99,77,160
19,Dottie Gets Spanked,Todd Haynes,52,131,113
20,Putney Swope,"Robert Downey, Sr.",245,2,4
21,Fata Morgana,Werner Herzog,139,241,11
22,Dementia 13,Francis Ford Coppola,151,166,37
23,Fast Company,David Cronenberg,234,114,170
24,Carol,Todd Haynes,58,149,104
25,I'm Not There,Todd Haynes,166,125,246
26,Bad Lieutenant: Port of Call New Orleans,Werner Herzog,186,24,161
27,Le Samourai,Jean-Pierre Melville,94,213,154
28,Kamikaze 1989,Wolf Gremm,67,138,103
29,Cecil B. Demented,John Waters,152,218,127
30,Ieri Oggi Domani,Vittorio De Sica,137,88,114
31,The Maid (2009),Sebastian Silva,114,212,54
32,Rodin,Jacques Doillon,189,210,33
33,Eiffel,Martin Bourboulon,2,17,190
34,Joan of Arc,Bruno Dumont,55,182,134
35,Gainsbourg: A Heroic Life,Joann Sfar,183,146,135
36,Grizzly Man,Werner Herzog,148,239,143
37,Woyzeck,Werner Herzog,211,98,242
38,A Trip to the Moon,Byron Haskin,182,57,194
39,Haxan,Benjamin Christensen,66,7,105
40,Superstar: The Karen Carpenter Story,Todd Haynes,54,151,47
41,Poison,Todd Haynes,15,245,197
42,Monsieur Hulot's Holiday,Jacques Tati,220,240,153
43,Munchhausen,Josef von Báky,42,47,221
44,Lynch/Oz,Alexandre O. Philippe,150,3,58
45,Titicut Follies,Frederick Wiseman,69,205,10
46,The Bicycle Thief,Vittorio De Sica,5,52,98
47,The Baby,Ted Post,98,242,195
48,The Steamroller and the Violin,Andrei Tarkovsky,169,227,95
49,Ivan's Childhood,Andrei Tarkovsky,173,96,30
50,Bad Taste,Peter Jackson,21,59,72
51,Blood for Dracula,Paul Morrissey,205,5,12
52,Flesh for Frankenstein,Paul Morrissey,172,124,238
53,Star Trek 2: The Wrath of Khan,Nicholas Meyer,90,243,187
54,A Cat In Paris,Jean-Loup Felicioli,146,208,81
55,The Man Who Killed Don Quixote,Terry Gilliam,91,177,236
56,Delicatessen,Jean-Pierre Jeunet and Marc Caro,7,21,204
57,Cobra Verde,Werner Herzog,47,45,123
58,Un Flic,Jean-Pierre Melville,126,135,56
59,Stroszek,Werner Herzog,203,171,133
60,The Rabbi's Cat,Joann Sfar,184,142,133
61,Heart of Glass,Werner Herzog,101,109,15
62,Early Short Films of the French New Wave (19),various,243,163,18
63,Lessons of Darkness,Werner Herzog,50,58,84
64,"My Son, My Son, What Have Ye Done",Werner Herzog,19,67,226
65,The Wild Blue Yonder,Werner Herzog,176,94,121
66,Signs of Life,Werner Herzog,9,128,145
67,Where the Green Ants Dream,Werner Herzog,204,133,2
68,Little Dieter Needs to Fly,Werner Herzog,109,197,77
69,Rescue Dawn,Werner Herzog,210,192,36
70,Kinetta,Yorgos Lanthimos,247,51,43
71,Alps,Yorgos Lanthimos,32,8,39
72,We Are All Going to the World's Fair,Jane Schoenbrun,74,167,201
73,The Babadook,Jennifer Kent,206,87,149
74,Kinky Boots,Julian Jarrold,216,186,38
75,Titane,Julia Ducournau,46,63,64
76,Crimes of the Future,David Cronenberg,92,112,200
77,Paint Your Wagon,Joshua Logan,65,136,69
78,Jacques Brel Is Alive and Well and Living in Paris,Denis Héroux,10,136,17
79,Betty Boop Confidential,various,198,34,148
80,God's Angry Man,Werner Herzog,181,78,55
81,The Great Ecstasy of the Woodcarver Steiner,Werner Herzog,181,72,3
82,Invincible,Werner Herzog,199,74,129
83,Herdsmen of the Sun,Werner Herzog,136,199,23
84,Queen of the Desert,Werner Herzog,177,16,210
85,Salt and Fire,Werner Herzog,118,99,151
86,Wings of Hope,Werner Herzog,225,19,118
87,Wheel of Time,Werner Herzog,96,200,27
88,"Lo and Behold, Reveries of the Connected World",Werner Herzog,105,39,184
89,Ballad of the Little Soldier,Werner Herzog,212,150,232
90,Encounters at the End of the World,Werner Herzog,120,69,157
91,The Flying Doctors of East Africa,Werner Herzog,25,193,9
92,How Much Wood Would a Woodchuck Chuck,Werner Herzog,95,236,146
93,Handicapped Future,Werner Herzog,241,25,176
94,Huie's Sermon,Werner Herzog,144,147,91
95,The Dark Glow of the Mountains,Werner Herzog,41,1,212
96,Nomad: In the Footsteps of Bruce Chatwin,Werner Herzog,135,50,67
97,Echoes from a Somber Empire,Werner Herzog,11,202,185
98,Into the Abyss,Werner Herzog,215,90,156
99,Jag Mandir,Werner Herzog,145,232,167
100,The White Diamond,Werner Herzog,1,204,239
101,Happy People: A Year in the Taiga,Werner Herzog,88,188,211
102,Bells from the Deep,Werner Herzog,250,113,26
103,Gesualdo: Death for Five Voices,Werner Herzog,235,172,205
104,Meeting Gorbachev,Werner Herzog,127,221,80
105,The Fire Within: Requiem for Katia and Maurice Krafft,Werner Herzog,51,217,136
106,Werner Herzog Short Films,Les Blank,83,155,70
107,Gates of Heaven,Errol Morris,156,28,164
108,"Vernon, Florida",Errol Morris,163,100,144
109,The Thin Blue Line,Errol Morris,73,60,90
110,The Fog of War: Eleven Lessons from the Life of Robert S. Macnamara,Errol Morris,238,10,40
111,The Killing Fields,Roland Joffé,24,122,140
112,King Corn,Aaron Woolf,197,211,147
113,Once Upon a Time in America,Sergio Leone,219,185,112
